Unnamed: 0,nonsense_sentence,logical_sentence,correct_reasoning_1,correct_reasoning_2,correct_reasoning_3,wrong_reasoning_1,wrong_reasoning_2
9011,dia berjalan melewati rel ke kamar lain,dia berjalan melalui lorong ke ruangan lain,kereta api menghubungkan stasiun kereta api,Kereta api tidak ada di dalam.,Anda tidak dapat berjalan melalui kereta api jika tidak Anda akan ditabrak kereta api.,dia mendirikan kereta mainan di ruangan itu,kereta api melewati jendela kamar
9012,tanah ditutupi dengan gula semalam,tanah ditutupi dengan salju semalam,gula tidak jatuh dari langit,Gula akan menarik serangga Tidak bisa disimpan di tanah,Gula bukanlah unsur cuaca dan tidak akan jatuh di luar semalam.,sejumlah besar gula dibuat tadi malam,sebuah truk yang membawa gula jatuh
9013,taman bunga ada di tengah meja,buket bunga ada di tengah meja,sebuah taman terlalu besar untuk diletakkan di atas meja,Meja terlalu kecil untuk menjaga taman bunga di tengahnya.,Kebun tidak tumbuh di tengah meja; mereka tumbuh di luar.,meja dipindahkan ke taman untuk piknik,taplak meja memiliki pola bunga di taman
9014,Tom mengenakan piyama untuk wawancara kerja kemarin,Tom mengenakan jas untuk wawancara kerja kemarin,wawancara kerja adalah peristiwa serius dan piyama terlalu kasual,Piyama terlalu santai dan tidak cukup profesional untuk wawancara kerja.,"untuk wawancara semua orang memakai pakaian resmi, bukan piyama",Tom adalah seorang pewawancara,Tom melamar pekerjaan sebagai penjual piyama dan ada wawancara kemarin
9015,dia meletakkan gitar di atas gunung,dia meletakkan gitar di atas rak,gunung bukan tempat yang tepat untuk menempatkan gitar,Gitar tidak masuk gunung,gunung terlalu tinggi untuk meletakkan apa pun di sana,dia adalah gitaris terkenal,dia memainkan musik gitar di puncak gunung
9016,dia makan beberapa obat tidur agar tidak tertidur,dia makan beberapa biji kopi agar tidak tertidur,pil tidur membantu Anda tidur cepat,Pil tidur seharusnya membuat Anda tertidur.,Pil tidur membuat Anda tertidur sehingga Anda tidak akan meminumnya jika Anda ingin tetap terjaga.,dia tidak bisa tidur setelah makan pil tidur palsu,dia lupa makan pil tidurnya
9017,Atlantik adalah benua terbesar di dunia,Asia adalah benua terbesar di dunia,"Atlantik adalah lautan, bukan benua","Atlantik adalah lautan, bukan benua.",Atlantik bukan benua.,Atlantik tidak cukup besar,"Asia adalah benua, bukannya lautan"
9018,lagu barunya populer di layar teater,film barunya populer di layar teater,teater tidak memainkan lagu,tidak ada lagu yang akan diputar di layar teater,Lagu tidak ditampilkan di bioskop.,penyanyi itu diundang untuk berperan dalam film itu,dia suka pergi ke bioskop
9019,sekarang jam 6 dan tahun baru akan tiba,sekarang jam 12 dan tahun baru akan tiba,setiap hari tidak dimulai pukul 6 sore,"Sekarang pukul 6 dua kali sehari, setiap hari bahkan ketika tahun baru tidak dekat.",Tahun baru tengah malam,festival tahun baru dimulai pukul 6 sore,"ketika tahun baru tiba di suatu negara, beberapa negara lain sudah jam 6"
9020,burung itu membangun sarang di bagian bawah pohon,burung membangun sarang di atas pohon,Sarang di tanah akan mudah rusak,Burung membangun sarang di atas pohon,Burung selalu membangun sarang di dahan pohon untuk melindungi sarangnya.,burung telah berada di pohon ini untuk waktu yang lama dan selalu membangun sarang di sini,ada banyak sarang di pohon
9021,dia menyalakan radio dan ruangan menjadi terang,dia menyalakan lampu dan ruangan menjadi terang,radio tidak bisa memancarkan cahaya,Radio tidak memancarkan cahaya.,Menyalakan radio memancarkan suara,radio memainkan beberapa musik cerah,musik dari radio bergema di ruangan itu
9022,ia menggunakan papan selancar untuk berselancar di internet,dia menggunakan browser untuk menjelajahi internet,internet adalah virtual sehingga tidak dapat berselancar dengan papan selancar,"Papan selancar digunakan untuk berselancar di lautan, bukan di internet.",Papan selancar digunakan dalam berperahu yang tidak dapat digunakan di internet,video dia sedang berselancar di papan selancar diunggah ke internet,dia menjelajahi internet untuk membeli papan selancar
9023,dia menekan pedal gas untuk memperlambat mobil,dia menekan rem untuk memperlambat mobil,akselerator adalah alat untuk mempercepat mobil,"Untuk memperlambat mobil, gunakan rem",akselerator memberikan kecepatan,mobil di depan mobilnya melambat,akselerator pada mobil rusak sehingga mobil melambat
9024,Saya ingat mereka membangun manusia salju musim panas lalu,Saya ingat mereka membuat manusia salju musim dingin lalu,"untuk membangun manusia salju, orang perlu salju, yang tidak akan terjadi di musim panas",tidak ada yang bisa membuat manusia salju di musim panas,Saya tidak salju di musim panas di Amerika Utara.,musim panas lalu mereka mencetak gambar manusia salju yang mereka buat,"di musim panas, mereka berencana membangun manusia salju tahun ini"
9025,dia menemukan dia punya lebih banyak uang setelah dia membayar tagihan,dia mendapati uangnya lebih sedikit setelah dia membayar tagihan,membayar tagihan menggunakan uangnya sehingga dia tidak dapat memiliki lebih banyak,Anda tidak dapat memiliki lebih banyak uang setelah membayar uang.,Dia memiliki lebih sedikit uang setelah membayar tagihan.,setelah dia membayar tagihan mereka membaginya,dia mendapatkan gajinya pada hari dia membayar tagihan
9026,dia berjalan ke pompa bensin untuk mengisi bahan bakar mobilnya,dia pergi ke pompa bensin untuk mengisi bahan bakar mobilnya,orang mengisi bahan bakar tangki minyak di dalam mobil sehingga mobil perlu dibawa ke pompa bensin,Anda perlu mobil Anda untuk mengisi bahan bakar.,Mengisi bahan bakar mobil bisa dilakukan dengan naik mobil bukan dengan berjalan kaki,suaminya berjalan ke pompa bensin untuk tumpangan nanti,"ketika mobilnya sedang diisi bahan bakar, dia berjalan mengitari pompa bensin"
9027,setelah satu hari latihan ia menjadi kuat,setelah satu tahun latihan ia menjadi kuat,kondisi yang kuat membutuhkan waktu yang lama untuk mencapainya,Kita harus berolahraga untuk hari yang lebih lama untuk menjadi kuat,Biasanya dibutuhkan lebih dari satu hari latihan yang keras untuk benar-benar menjadi kuat (er).,dia berolahraga sepanjang hari kemarin,ketika dia berada di gym orang-orang di sekelilingnya semua kuat
9028,dia melipat payungnya ketika hujan mulai turun,dia membuka payungnya ketika hujan mulai turun,ketika payung dilipat mereka tidak menyediakan tempat berlindung dari hujan,Anda harus membuka payung Anda saat hujan.,Dia harus membuka payungnya karena hujan mulai turun.,dia membeli payung baru hari ini dan dia sangat menyukainya,dia suka hari hujan
9029,dia adalah seorang vegetarian dan menolak untuk makan,dia adalah seorang vegetarian dan menolak untuk makan daging,vegetarian juga membutuhkan makanan untuk hidup,"Vegetarian makan banyak makanan, hanya saja bukan produk daging.","Vegetarian menolak makanan non-sayuran, bukan makanan",seorang vegetarian dapat memiliki tingkat keparahan yang berbeda,dia menjadi vegetarian tahun ini
9030,dia kehabisan cola saat mengemudi untuk bekerja sehingga dia berjalan di sana,dia kehabisan bensin saat mengemudi untuk bekerja sehingga dia berjalan di sana,cola adalah jenis minuman dan tidak ada hubungannya dengan kekuatan mobil,Jika dia mengemudi mengapa dia berjalan,Cola bukan bahan bakar yang valid untuk mobil.,dia ingin minum cola jadi dia berjalan ke toko untuk membelinya,dia menemukan cola sangat menyegarkan ketika dia pergi bekerja
9031,mark adalah seorang pilot dan dia mengumpulkan sebuah pesawat terbang,mark adalah seorang pilot dan dia menerbangkan pesawat,seorang pilot biasanya tidak bertanggung jawab atas pekerjaan perakitan,"seorang pilot menerbangkan pesawat, mereka tidak merakitnya",Pilot menerbangkan pesawat tetapi mereka tidak mengumpulkannya.,dia menerbangkan pesawat setelah pesawat dipasang,ia ingin menjadi pekerjaan perakitan setelah ia pensiun dari pekerjaannya sebagai pilot
9032,Jim menulis pesan dengan jari di selembar kertas,Jim menulis pesan dengan pensil di selembar kertas,jari tidak mengandung tinta warna,Jari bukanlah alat tulis.,Jari bukanlah alat tulis.,dia tidak punya selembar kertas untuk ditulis,dia ingin pesan itu disampaikan sesegera mungkin
9033,pengusaha pergi ke bandara untuk menangkap tikus,pengusaha pergi ke bandara untuk naik pesawat,pengusaha tidak pandai menangkap tikus terutama di bandara,Dia tidak dibutuhkan,"Anda naik pesawat di bandara, bukan tikus",penerbangan tidak tersedia karena mouse menggigit kabel bandara,bandara dalam bencana tikus
9034,ia mengulurkan tangannya dan menangkap bola dengan kakinya,dia merentangkan tangannya dan menangkap bola dengan tangannya,kaki tidak berada di ujung lengan Anda,semua orang menggunakan tangan untuk menangkap bola,Tidak ada kaki di ujung lengan.,temannya memberikannya bola,dia yakin dia akan menangkap bola dengan kakinya
9035,perbedaan antara waktu kelahiran si kembar adalah satu hari,perbedaan antara waktu kelahiran si kembar adalah satu menit,sepasang kembar dikirim satu per satu dengan cermat dan satu hari terlalu panjang,Kembar dilahirkan pada hari yang sama.,"Akan sangat jarang, jika bukan tidak mungkin kembar lahir terpisah satu hari.",sepasang anak kembar biasanya merayakan ulang tahun mereka dalam satu hari,hari berikutnya perawat menemukan mereka lupa mencatat waktu kelahiran si kembar
9036,dia menemukan cukup bukti untuk melakukan kejahatan,dia menemukan cukup bukti untuk menghukum kejahatan,bukti tidak digunakan untuk melakukan kejahatan,Bukti ditemukan setelah kejahatan dilakukan.,Anda tidak perlu bukti untuk melakukan kejahatan.,dia memutuskan untuk melakukan kejahatan tapi dia lupa satu bukti penting,sebagai salah satu kelompok yang melakukan kejahatan ia membantu menemukan beberapa bukti
9037,jim memotong jarinya dengan sabun,jim memotong jarinya dengan pisau,sabun tidak cukup tajam untuk memotong jari seseorang,Sabun tidak bisa memotong apa pun.,sabun lembut dengan ujung bulat,ia memotong jarinya ketika ia mencoba untuk memotong sabun,sabun membantu membersihkan luka di jarinya
9038,tina menyuruh anjingnya membersihkan apartemen,tina mengatakan kepada putrinya untuk membersihkan apartemen,seekor anjing tidak pandai membersihkan apartemen,Anjing tidak bisa membersihkannya binatang,Anjing tidak bisa membersihkan.,tina mengatakan kepada anjingnya untuk tidak mengacaukan apartemen tetapi tidak mengerti,tina menyuruh putrinya untuk membawa anjing itu pergi saat dia sedang membersihkan apartemennya
9039,Jack memiliki bau mulut sehingga ia makan bawang putih,Jack memiliki bau mulut sehingga ia makan permen mint,Bawang putih akan menyebabkan bau mulut setelah orang memakannya,Makan bawang putih membuat napas lebih buruk,"Bawang putih bukan satu-satunya faktor untuk memiliki bau mulut, kebersihan gigi yang buruk, infeksi mulut dan masalah gigi adalah faktor utama untuk memiliki bau mulut.",dia suka makan bawang putih,bau mulut yang dimilikinya lebih buruk daripada bau mulut yang disebabkan oleh bawang putih
9040,Susan membersihkan kamarnya dan dia memiliki lebih banyak sampah,Susan membersihkan kamarnya dan dia memiliki lebih banyak ruang,Membersihkan kamar berarti menyapu kotoran dan membuang sampah,"Dia membersihkan kamar, jadi dia membuang sampah, pada akhirnya dia tidak bisa memiliki lebih banyak sampah",Membersihkan kamar akan mengurangi sampah.,sampah menginspirasinya untuk membersihkan kamarnya,Susan mengumpulkan sampah yang dibuang ke mana-mana dan memasukkannya ke tempat sampah
9041,dia makan hot pot di restoran cepat saji,dia makan hamburger di restoran cepat saji,hot pot tidak disajikan sebagai makanan cepat saji,Hot pot adalah masakan Cina dan tidak ada restoran cepat saji di Cina,tidak bisa makan pot,dia masih lapar setelah makan hot pot,dia sering menjadi tamu di restoran cepat saji
9042,dia merasa lapar dan pergi ke gym untuk makan,dia merasa lapar dan pergi ke restoran untuk makan,pusat kebugaran tidak menyajikan makanan dan orang makan sebelum berolahraga,Anda tidak pergi ke gym untuk makan,pusat kebugaran tidak menyajikan makanan,ia pergi ke gym sehingga ia bisa terinspirasi oleh orang lain yang bekerja di luar,ia ingin menurunkan berat badan
9043,dia curiga ada tikus di garasi sehingga dia membawa seekor anjing pulang,dia curiga ada tikus di garasi jadi dia membawa kucing pulang,seekor anjing dan tikus tidak saling melanggar,"anjing tidak memburu tikus, kucing melakukannya",anjing tidak menangkap tikus,anjing menganggap garasi sebagai rumahnya dan mempertahankan wilayahnya,dia curiga tikus itu tertarik oleh sisa makanan anjing mereka
9044,sebagai ahli geografi ia menciptakan permukaan bumi,sebagai seorang ahli geografi ia mempelajari permukaan Bumi,Bumi diciptakan melalui miliaran tahun,karena orang berpikir bahwa Tuhan menciptakan segalanya,"Ini tidak logis, ketika ia mensurvei apa yang sudah ada, tidak membuatnya",dia menciptakan cara baru untuk menggambarkan permukaan bumi,dia sedang melakukan penelitian tentang bagaimana permukaan Bumi diciptakan
9045,joe mencuri uang dari sakunya sendiri,joe mencuri uang dari saku ibunya,untuk mengambil uang dari saku sendiri tidak mencuri,Uang di sakunya sendiri adalah miliknya sendiri,Anda tidak bisa mencuri uang anda sendiri,uang di sakunya dicuri,dia menaruh uang yang dia curi di sakunya sendiri
9046,anak melihat ke bawah untuk menemukan bintang-bintang di langit,anak itu mendongak untuk menemukan bintang di langit,bagi orang-orang di bumi bintang-bintang berada di atas mata kita,Bintang ada di langit dan Anda harus melihat ke atas.,"Langit naik, karena itu memandang ke bawah bertentangan dengan akal sehat.",dia punya buku tentang bintang di langit,hujan meteor jatuh dari cakrawala
9047,dia merasa ingin bunuh diri dan dokter meminjamkan pistol,dia ingin bunuh diri dan dokter itu membantunya,dokter membantu kami ketika kami sakit mental atau fisik,DIA MERASA SEPERTI MENGUMPULKAN DOKTER TIDAK AKAN MEMBERIKAN GUN,Seorang dokter menyelamatkan nyawa.,dia mencoba bunuh diri dengan pistol,orang tidak diperbolehkan menggunakan senjata untuk melukai siapa pun
9048,Mereka menonton fiksi di majalah,Mereka menonton fiksi di televisi,fiksi diterbitkan di buku,"Anda tidak menonton majalah, Anda membacanya.",Anda tidak dapat 'menonton' majalah; Anda hanya bisa membacanya.,TV menyala tetapi dia membaca majalah,fiksi itu adalah ide asli dari serial tv
9049,John bangun pagi-pagi untuk beristirahat,John bangun terlambat untuk beristirahat,untuk istirahat yang baik harus tidur cukup lama,tidak bisa mendapatkan istirahat yang baik jika tidak tidur,Bangun pagi-pagi adalah kebalikan dari istirahat.,dia bangun pagi untuk beristirahat di tempat kerja,John tidur awal tadi malam untuk istirahat yang baik
9050,susan memutus telepon untuk menunggu panggilan lain,Susan menutup telepon untuk menunggu panggilan lain,jika telepon terputus tidak akan berdering,telepon tidak akan bekerja terputus,Jika telepon anda terputus panggilan lain tidak bisa datang melalui.,tidak akan ada panggilan lain hari ini,kualitas panggilannya sangat buruk sehingga ia memutus telepon untuk memulai kembali
9051,dia menekuk alisnya untuk melompat,dia menekuk lututnya untuk melompat,"orang menggunakan kaki mereka untuk melompat, bukan alis mereka",Tidak perlu membungkuk alis untuk melompat,Alis tidak digunakan untuk melompat,alis palsunya akan menekuk jika dia bergerak sedikit,dia sangat senang melompat sehingga alisnya menekuk
9052,anne menjatuhkan air terjun di lantai,anne menjatuhkan telur di lantai,air terjun jatuh dari tebing gunung,Air terjun bukanlah benda yang bisa Anda pegang.,Anda tidak bisa memegang air terjun di tangan Anda,anne memblokir wastafel dan air terjun kecil terbentuk,air terjun setinggi bangunan 20 lantai
9053,penyanyi berpengalaman kapten kapal,kapten pelaut berpengalaman kapal,seorang penyanyi tidak tahu bagaimana memimpin di atas kapal,Bernyanyi tidak ada hubungannya dengan kapten kapal.,Penyanyi bukan kapten dan tidak akan memimpin sebuah kapal.,penyanyi menyewa kapal untuk pergi berlibur,kapten kapal mengundang penyanyi berpengalaman untuk tampil
9054,dia melihat melalui kaca pembesar untuk mengamati sel,dia melihat melalui teleskop untuk mengamati sel,kaca pembesar tidak cukup akurat untuk mengamati sel,Kaca pembesar tidak memiliki kekuatan yang cukup untuk fokus pada sel tunggal.,Sel dapat diamati hanya melalui mikroskop bukan pembesar,dia tertarik pada eksperimen biologi seperti mengamati sel,kaca pembesar terbuat dari kaca yang memiliki lengkungan khusus
9055,dia memakai sepatunya untuk melihat dengan cukup baik,dia memakai kacamata untuk melihat dengan cukup baik,sepatu dikenakan di kaki dan tidak ada hubungannya dengan mata,Sepatu dikenakan di kaki dan tidak memiliki hubungan dengan seberapa baik atau buruk seseorang dapat melihat.,Sepatu tidak membantu anda melihat.,sepatu yang dikenakannya cukup bagus pada kesempatan ini,dia tidak bisa melihat sepatunya dengan cukup baik untuk dipakai
9056,Josh melangkah ke kerang ketika dia berjalan di sepanjang pantai,Josh menginjak kerang ketika dia berjalan di sepanjang pantai,kerang tidak cukup besar untuk josh untuk melangkah ke,Anda tidak melangkah ke kerang.,"kerang biasanya sangat kecil, jadi melangkah ONTO satu lebih mungkin daripada menjadi satu",berjalan di sepanjang pantai seperti melangkah ke dunia baru,josh menemukan sejumlah besar kerang di pantai
9057,dia berjalan tanpa alas kaki di atas pecahan kaca,dia berjalan tanpa alas kaki di atas gelas halus,jika orang berjalan tanpa alas kaki mereka rapuh terhadap benda-benda tajam,berjalan tanpa alas kaki di atas kaca akan sangat menyakitkan,Kaki telanjang di atas pecahan kaca menyebabkan cedera,setelah dia lewat tanpa alas kaki gelasnya pecah,kaca memiliki pola efek pecah padanya
9058,jefferson lupa untuk diam sebelum melakukan beberapa latihan,jefferson lupa untuk pemanasan sebelum ia melakukan beberapa latihan,orang dapat berbicara atau tetap diam ketika mereka melakukan latihan,Tidak ada alasan bahwa berbicara suatu latihan tidak bisa berjalan bersama.,Tidak masalah jika Anda diam atau berbicara saat berolahraga.,jefferson berbicara terlalu keras sehingga banyak orang memintanya untuk tutup mulut,orang cenderung menggertakkan giginya saat mengerahkan kekuatan maksimalnya
9059,dia menerima gelar dari keluarganya,dia menerima gelar dari universitas,gelar diberikan dari lembaga profesional dan keluarga bukan satu,orang menerima gelar dari universitas,Anda menerima gelar dari perguruan tinggi,menerima gelar adalah untuk pembelajaran selanjutnya,setiap orang di keluarganya menerima setidaknya gelar sarjana
9060,james menyukai mobilnya untuk waktu yang lama setiap hari,james mengendarai mobilnya untuk waktu yang lama setiap hari,emosi seperti tidak memiliki periode waktu yang akurat,setiap hari adalah mobil untuk waktu yang lama,Anda tidak suka mobil,mobilnya sudah rusak sejak lama,james membeli mobil barunya baru-baru ini
9061,Tony menggunakan drake-nya untuk menghentikan sepedanya,Tony menggunakan remnya untuk menghentikan sepedanya,drake tidak memberikan gesekan untuk menghentikan roda,drake tidak digunakan pada sepeda,Drake adalah jenis kadal dan tidak umum ditemukan di sepeda,tony mengendarai sepedanya untuk menggerakkan drakes ke sudut,Tony menghentikan sepedanya ketika seseorang bertanya tentang drake-nya
9062,dia menemukan elang di dasar laut,dia menemukan kuda laut di dasar laut,elang adalah burung yang tidak bisa hidup di laut,elang terbang di langit,Elang tidak bisa hidup di dasar laut.,elang menyelam ke laut dangkal untuk menangkap ikan,"perahu ""Eagles"" tenggelam ke dasar laut"
9063,dia menggunakan kartu id-nya untuk membayar tagihan,dia menggunakan kartu kreditnya untuk membayar tagihan,Satu-satunya nilai kartu id adalah mengidentifikasi seseorang,Kartu saya digunakan untuk tujuan Identitas dengan cara kita tidak dapat membayar tagihan,Kartu ID tidak dapat membayar tagihan,dia lupa membawa dompetnya sehingga dia menyimpan kartu idnya,dia meninggalkan kartu identitasnya di restoran setelah dia membayar tagihan
9064,dia adalah manusia pertama yang lahir di bulan,dia adalah manusia pertama yang mendarat di bulan,lingkungan di bulan tidak cocok bagi manusia untuk hidup,Tidak ada yang dilahirkan di bulan.,Tidak ada yang pernah lahir di bulan,dia bilang dia dilahirkan untuk karier seorang astronot,dia dilahirkan untuk menjadi putra manusia pertama yang pernah ke bulan
9065,joe tidur di atas kulit pisang,joe tergelincir pada kulit pisang,kulit pisang terlalu kecil untuk bisa tidur,Kulit pisang terlalu kecil untuk tidur.,orang tidak tidur di tempat sampah,dia makan pisang sebelum tidur,makan terlalu banyak pisang membuat orang ingin tidur
9066,monyet yang baru lahir meminum pisang dari dada ibunya,monyet yang baru lahir minum susu dari payudara ibunya,pisang adalah buah yang ditanam di pohon pisang,pisang tidak berasal dari payudara,Dari ibu hanya ASI yang akan datang,Monyet yang baru lahir tidak bisa mencerna pisang,monyet yang baru lahir menempel pada payudara ibunya ketika ditawari pisang
9067,wortel membuat kelinci sakit,wortel membuat tom sakit,kelinci makan wortel sebagai makanan utama mereka,Kelinci suka makan wortel dan tidak ada yang suka makan makanan yang membuat mereka sakit.,Kelinci menyukai wortel sebagai makanan,"ketika kelinci masuk angin, mereka masih membutuhkan makanan seperti wortel",wortel tumbuh di tanah
9068,Josh memikirkan sebuah ide dan menulis sejarah,Josh memikirkan sebuah ide dan menulis sebuah cerita,sejarah harus terjadi daripada,tidak dapat menulis riwayat ide,sebuah ide adalah hal yang singkat dan langsung,Josh punya ide khusus tentang sampul buku sejarah ini,ide yang dipikirkan Josh sangat dipuji dalam sejarah
9069,jane melaju begitu cepat sehingga dia mendapat tiket film,jane melaju sangat cepat sehingga dia mendapat tiket yang melaju kencang,mengemudi terlalu cepat berbahaya dan selalu dihukum,"jika Anda mengemudi dengan cepat, Anda akan mendapatkan tiket ngebut",mengapa dia harus mengemudi dengan cepat bahkan dia mendapat tiket,jane melaju cepat untuk tiba di bioskop tepat pada waktunya atau tiketnya akan kedaluwarsa,jane berperan dalam film di mana dia mengemudi dengan cepat
9070,Jack mengabaikan temannya yang sakit untuk memeriksanya,Jack menelepon temannya yang sakit untuk memeriksanya,untuk memeriksa seseorang yang sakit harus menghubunginya,Teman yang sakit adalah laki-laki.,Anda tidak dapat mengabaikan seseorang dan memeriksanya secara bersamaan.,Jack memeriksa temannya yang sakit tetapi mengabaikan jawabannya,dia lupa bahwa temannya sakit
9071,dia dihukum oleh bos karena kerja kerasnya,dia dibayar oleh bos karena kerja kerasnya,orang yang bekerja keras seharusnya tidak dihukum,Dia dihargai oleh bos karena kerja kerasnya.,Kerja keras tidak akan dihukum.,rekan-rekannya tidak menyukainya karena kerja kerasnya membuahkan hasil,kerja kerasnya mengungkap banyak perilaku buruk dan bos menghukum banyak karyawan
9072,sebuah perahu melayang di mangkuk,sebuah perahu melayang di air,sebuah mangkuk terlalu kecil untuk mengapung,Sebuah perahu hanya akan mengambang di badan air,Kapal terlalu besar untuk bisa dimasukkan ke dalam mangkuk.,perahu itu tenggelam tetapi mangkuk-mangkuk di atasnya melayang,ini adalah kapal kargo yang penuh mangkuk
9073,fred menaikkan kapasitas radio,fred muncul volume radio,radio tidak bisa menahan hal-hal lain,radio tidak memiliki kapasitas,"Kapasitas umumnya digunakan untuk menggambarkan kuantitas fisik, bukan volume.",radio menyiarkan cara untuk meningkatkan kapasitas rumah seseorang,fred menaikkan kapasitas mejanya sehingga dia bisa meletakkan radio di atasnya
9074,alex melaju van ke danau,alex melaju van ke danau,sebuah van tidak bisa berlari di danau,Vans tidak dibuat untuk mengemudi di air yang dalam.,itu bisa terjadi tetapi biasanya tidak,alex keluar dari van tanpa menarik rem tangan,Alex menemukan van lamanya dan rusak
9075,frank membawa sekaleng perhiasan dari toko kelontong,frank membawa sekaleng bir dari toko kelontong,perhiasan tidak dijual di toko kelontong dan tidak dijual dalam kaleng,Perhiasan tidak dapat dibeli di dapat dari toko kelontong,Tidak ada yang menjual perhiasan kaleng,frank menaruh semua perhiasannya di kaleng kosong yang dibawa dari toko kelontong,pemilik toko grosir rusak sehingga dia menjual semua perhiasannya
9076,mary mengenakan arloji cantik ke pesta dansa,mary mengenakan gaun cantik untuk pesta dansa,pesta dansa bukanlah tempat yang baik untuk memamerkan jam tangan seseorang,Tidak ada yang peduli tentang menonton di pesta dansa.,cukup menonton tidak digunakan untuk pesta dansa,dia berbicara tentang arlojinya yang cantik dengan rekannya di pesta dansa,dia menjalani kehidupan menjual arloji cantik
9077,Mereka jatuh dan mematahkan hatinya,tom jatuh dan patah lengannya,menghancurkan hati seseorang adalah tentang emosi,"Ketika seseorang jatuh, mereka dapat mendarat di berbagai bagian tubuh mereka dan jantung dilindungi oleh tulang dada / tulang rusuk sehingga jantung umumnya terlindungi tetapi mungkin bukan tulang.",Hancur hatimu lebih merupakan hal emosional yang terjadi; itu tidak dapat secara fisik merusak cara yang dijelaskan di sini.,pacarnya putus dengannya dan hatinya hancur,tom jatuh cinta dengan mantan pacarnya
9078,dia memakan sumpitnya dengan chop suey,dia makan chop suey-nya dengan sumpit,chop suey adalah hidangan sementara sumpit adalah alat untuk makan,"Sumpit adalah peralatan untuk makan makanan, dan tidak boleh dimakan.",Chop suey bisa dimakan dengan sumpit,tongkat cincang terbuat dari kayu sedangkan cincang terbuat dari sayuran dan daging,sulit untuk makan sumpit sementara mudah untuk makan chop suey
9079,tirai mandi rasanya enak,tirai kamar mandi terlihat baik,tirai shower terbuat dari plastik,Orang tidak makan tirai shower.,Tirai shower digunakan di kamar mandi untuk pemisahan yang tidak bisa dicicipi,ada banyak gambar makanan yang dicetak di tirai kamar mandi,dia makan sesuatu yang enak di balik tirai kamar mandi
9080,jamie menyajikan makanan lezat di laptop,jamie menyajikan makanan lezat di piring,laptop tidak bisa menjadi wadah dari hal-hal yang sebenarnya,laptop tidak bisa menyajikan makanan lezat,Buku masak baru Jamie menyatukan 100 resep makanan yang sangat nyaman dari seluruh dunia,dia menunjukkan banyak gambar makanan lezat di pangkuannya,jamie belajar memasak dengan laptopnya
9081,ia menulis surat di tv,dia menulis surat pada mesin tik,tv tidak memiliki fungsi menulis surat,"TV adalah untuk menonton, dan bukan untuk menulis sesuatu.",TV harus kurus untuk menulis surat.,dia meletakkan kertas itu di tv dan menulis surat,serial tv diputar bahwa ia menulis surat
9082,Judy menggunakan earpick untuk membersihkan sela-sela giginya,Judy menggunakan tusuk gigi untuk membersihkan sela-sela giginya,Earpick tidak dirancang untuk gigi,Ini tidak masuk akal karena terlalu besar,Tusuk gigi digunakan untuk membersihkan sela-sela gigi.,dia memegang earpick di antara giginya untuk membebaskan tangannya,Judy membeli earpick baru dan harganya cukup mahal
9083,suzie membelikan orangtuanya mobil baru untuk ulang tahunnya,suzie membelikan orangtuanya mobil baru untuk Natal,orang biasanya menerima pada hari ulang tahun mereka,Seseorang menerima hadiah pada hari ulang tahun mereka,ulang tahun suzie orang tuanya memberikan hadiah baru,suzie mengendarai mobil barunya ke rumah orangtuanya untuk merayakan hari ulang tahunnya,Orang tua suzie memberinya sejumlah besar uang
9084,lily bersembunyi di balik rambut,lily bersembunyi di balik kursi,sehelai rambut terlalu tipis untuk disembunyikan oleh bunga bakung di belakang,Biasanya rambut (tunggal) terlalu tipis dan kecil untuk disembunyikan di belakang seluruh orang.,rambut terlalu tipis untuk disembunyikan di belakang,lily ditemukan karena rambutnya,lily menyembunyikan rambutnya di belakang wig
9085,dia membuka tirai kamar mandi ketika dia bangun,dia membuka tirai ketika dia bangun,tirai shower bukan untuk melindungi cahaya pada malam hari,Tirai shower ada di kamar mandi dan kita tidak bisa membuka ketika kita bangun,Orang tidak tidur di kamar mandi.,dia mandi di pagi hari,dia terlalu lelah untuk mandi sehingga dia tidur lebih awal
9086,lewis berselingkuh dengan pacarnya,lewis berselingkuh dengan bosnya,hubungan antara pasangan bukanlah perselingkuhan,Anda tidak dapat berselingkuh dengan seseorang jika Anda sudah menjalin hubungan dengan mereka.,tidak ada yang berselingkuh dengan pacar mereka,pacarnya menangkapnya berselingkuh,dia berjanji kepada pacarnya bahwa dia tidak akan pernah berselingkuh
9087,topi membuat kepala terkena sinar matahari dan hujan,topi melindungi kepala dari sinar matahari dan hujan,topi berfungsi sebagai tempat berlindung bagi para kepala,Topi aman dari kepala.,"Dalam hujan, matahari tidak dapat terlihat.",topi laris ketika ada matahari atau hujan,"jika topi itu hilang, kepala akan terkena sinar matahari dan hujan"
9088,Jack memberikan sepatah kata padanya,Jack menyerahkan kamus padanya,sebuah kata tidak dapat ditulis tanpa menuliskannya,Anda tidak bisa secara fisik memberikan suara atau kata-kata kepada seseorang.,Kata-kata itu tidak penting dan tidak bisa dipegang di tangan atau disodorkan.,jack mengatakan kepadanya apa arti kata,Jack marah dan dia berbicara dengannya
